NameLatFinal,Type,NameCzFinal
×Sorbaronia fallax,strom,jeřáboplodec klamný
Abies alba,strom,jedle bělokorá
Abies concolor,strom,"jedle stejnobarvá, j. ojíněná"
Abies grandis,strom,jedle obrovská
Abies nordmanniana,strom,jedle kavkazská
Acer campestre,keř,"javor babyka, babyka"
Acer ginnala,strom,javor ginnala
Acer monspessulanum,keř,"javor francouzský, j. montpeliérský"
Acer negundo,strom,javor jasanolistý
Acer palmatum,strom,javor dlanitolistý
Acer platanoides,strom,"javor mléč, mléč"
Acer pseudoplatanus,strom,"javor klen, klen"
Acer saccharinum,strom,javor stříbrný
Acer tataricum,keř,javor tatarský
Actinidia deliciosa,strom,aktinidie lahodná
Aesculus ×carnea,strom,jírovec pleťový
Aesculus hippocastanum,strom,jírovec maďal (“koňský kaštan”)
Aesculus pavia,strom,jírovec pávie
Ailanthus altissima,strom,pajasan žláznatý
Alhagi maurorum,keř,manovec mouřenínský
Alnus alnobetula,keř,olše zelená
Alnus glutinosa,strom,olše lepkavá
Alnus incana,strom,olše šedá
Alnus incana subsp. incana,keř,olše šedá pravá
Alnus rugosa,keř,olše svraskalá
Amelanchier alnifolia,keř,muchovník olšolistý
Amelanchier lamarckii,strom,muchovník Lamarckův
Amelanchier spicata,keř,muchovník klasnatý
Amorpha fruticosa,keř,netvařec křovitý
Aristolochia macrophylla,strom,podražec velkolistý
Berberis julianae,keř,dřišťál Juliin
Berberis thunbergii,keř,dřišťál Thunbergův
Berberis vulgaris,keř,dřišťál obecný
Betula humilis,keř,bříza nízká
Betula nana,keř,bříza trpasličí
Betula papyrifera,strom,bříza papírovitá
Betula pendula,strom,"bříza bělokorá, bříza bradavičnatá"
Betula pubescens subsp. carpatica,strom,bříza karpatská
Betula pubescens subsp. pubescens,strom,bříza pýřitá pravá
Broussonetia papyrifera,strom,papírovník čínský
Buddleja alternifolia,keř,komule střídavolistá
Buddleja davidii,keř,komule Davidova
Buxus sempervirens,keř,zimostráz vždyzelený
Calycanthus floridus,keř,sazaník květnatý
Campsis radicans,keř,trubač kořenující
Caragana arborescens,keř,čimišník stromovitý
Carpinus betulus,strom,habr obecný
Carpinus orientalis,keř,habr východní
Caryopteris ×clandonensis,keř,ořechokřídlec klandonský
Castanea sativa,strom,"kaštanovník jedlý, kaštanovník setý"
Catalpa bignonioides,strom,katalpa trubačovitá
Celastrus orbiculatus,strom,jesenec okrouhlolistý
Celtis occidentalis,strom,břestovec západní
Chaenomeles japonica,keř,kdoulovec japonský
Chaenomeles speciosa,keř,kdoulovec ozdobný
Chamaecyparis lawsoniana,strom,cypřišek Lawsonův
Chamaecyparis pisifera,strom,cypřišek hrachonosný
Chamaecytisus elongatus,keř,čilimník prodloužený
Chenopodium nitrariaceum,keř,merlík australský
Clematis flammula,keř,plamének palčivý
Clematis tangutica,keř,plamének východní
Clematis vitalba,strom,plamének plotní
Clematis viticella,keř,plamének vlašský
Colutea arborescens,keř,žanovec měchýřník
Cornus alba,keř,svída bílá
Cornus alba agg.,keř,okruh svídy bílé
Cornus mas,keř,"dřín jarní, svída dřín, dřín"
Cornus sanguinea,keř,svída krvavá
Cornus sericea,keř,svída výběžkatá
Corylus avellana,keř,líska obecná
Corylus colurna,strom,líska turecká
Corylus maxima,keř,líska největší
Cotinus coggygria,keř,ruj vlasatá
Cotoneaster acutifolius,keř,skalník lesklý
Cotoneaster bullatus,keř,skalník puchýřnatý
Cotoneaster dielsianus,keř,skalník Dielsův
Cotoneaster divaricatus,keř,skalník rozkladitý
Cotoneaster horizontalis,keř,skalník rozprostřený
Cotoneaster integerrimus,keř,skalník celokrajný
Cotoneaster laxiflorus,keř,skalník černoplodý
Cotoneaster zabelii,keř,skalník Zabelův
Crataegus ×calycina,keř,hloh kališný
Crataegus ×fallacina,keř,hloh tuholistý
Crataegus ×lavallei,strom,hloh kožolistý
Crataegus ×macrocarpa,keř,hloh velkoplodý
Crataegus ×media,strom,hloh prostřední
Crataegus chrysocarpa,keř,hloh okrouhlolistý
Crataegus coccinea,strom,hloh břekolistý
Crataegus crus-galli,strom,hloh ostruhatý
Crataegus flabellata,keř,hloh vějířový
Crataegus intricata,keř,hloh popletený
Crataegus laevigata,strom,hloh obecný
Crataegus lindmanii,keř,hloh Lindmanův
Crataegus monogyna,keř,hloh jednosemenný
Crataegus persimilis,strom,hloh slivoňolistý
Crataegus rhipidophylla,keř,"hloh křivokališný, hloh podhorský"
Cydonia oblonga,strom,kdouloň obecná
Cytisus nigricans,keř,čilimník černající
Cytisus nigricans subsp. nigricans,keř,čilimník černající pravý
Cytisus scoparius,keř,janovec metlatý
Cytisus scoparius subsp. scoparius,keř,janovec metlatý pravý
Daphne mezereum,keř,lýkovec jedovatý
Dasiphora fruticosa,keř,"mochna křovitá, mochnovec křovitý"
Deutzia gracilis,keř,trojpuk štíhlý
Deutzia scabra,keř,trojpuk drsný
Diervilla lonicera,keř,zanice zimolezovitá
Elaeagnus angustifolia,strom,hlošina úzkolistá (“česká oliva”)
Elaeagnus commutata,keř,hlošina stříbrná
Elaeagnus umbellata,keř,hlošina okoličnatá
Euonymus europaeus,keř,brslen evropský
Euonymus verrucosus,keř,brslen bradavičnatý
Fagus sylvatica,strom,buk lesní
Fallopia aubertii,strom,opletka čínská
Ficus carica,keř,fíkovník smokvoň
Forsythia ×intermedia,keř,"zlatice prostřední, forzýtie prostřední"
Forsythia suspensa,keř,"zlatice převislá, forzýtie převislá"
Frangula alnus,keř,krušina olšová
Fraxinus americana agg.,strom,okruh jasanu amerického
Fraxinus angustifolia,strom,jasan úzkolistý
Fraxinus angustifolia subsp. danubialis,strom,jasan úzkolistý podunajský
Fraxinus excelsior,strom,jasan ztepilý
Fraxinus ornus,strom,jasan zimnář
Fraxinus pennsylvanica,strom,jasan pensylvánský
Ginkgo biloba,strom,jinan dvoulaločný
Gleditsia triacanthos,strom,dřezovec trojtrnný
Gymnocladus dioicus,strom,nahovětvec dvoudomý
Hamamelis japonica,keř,vilín japonský
Hamamelis mollis,keř,vilín měkký
Hamamelis virginiana,keř,vilín virginský
Hedera helix,strom,břečťan popínavý
Hibiscus syriacus,keř,ibišek syrský
Hippocrepis emerus,keř,podkovka křovitá
Hippophaë rhamnoides,strom,rakytník řešetlákový
Hydrangea arborescens,keř,hortenzie stromkovitá
Hydrangea macrophylla,keř,hortenzie velkolistá
Ilex aquifolium,strom,cesmína ostrolistá
Juglans cinerea,strom,ořešák popelavý
Juglans nigra,strom,ořešák černý
Juglans regia,strom,ořešák královský
Juniperus communis,keř,jalovec obecný
Juniperus sabina,keř,jalovec chvojka
Kerria japonica,keř,zákula japonská
Koelreuteria paniculata,strom,svitel latnatý
Kolkwitzia amabilis,keř,kolkwitzie krásná
Laburnum anagyroides,strom,štědřenec odvislý
Larix decidua,strom,modřín opadavý
Larix decidua subsp. decidua,strom,modřín opadavý pravý
Larix kaempferi,strom,modřín japonský
Ligustrum ovalifolium,keř,ptačí zob vejčitolistý
Ligustrum vulgare,keř,ptačí zob obecný
Linnaea borealis,keř,zimozel severní
Liriodendron tulipifera,strom,liliovník tulipánokvětý
Lonicera caerulea,keř,zimolez modrý
Lonicera caprifolium,keř,zimolez kozí list
Lonicera nigra,keř,zimolez černý
Lonicera periclymenum,keř,zimolez ovíjivý
Lonicera tatarica,keř,zimolez tatarský
Lonicera xylosteum,keř,zimolez pýřitý. z. obecný
Loranthus europaeus,strom,ochmet evropský
Lycium barbarum,keř,kustovnice cizí
Lycium chinense,keř,kustovnice čínská
Magnolia ×soulangeana,keř,šácholan Soulangeův
Magnolia stellata,keř,šácholan hvězdovitý
Mahonia aquifolium,keř,mahónie cesmínolistá
Malus ×dasyphylla,strom,jabloň domácí × j. lesní
Malus ×purpurea,strom,jabloň purpurová
Malus baccata,strom,jabloň drobnoplodá
Malus domestica,keř,jabloň domácí
Malus floribunda,keř,jabloň mnohokvětá
Malus fusca,strom,jabloň hnědá
Malus sylvestris,keř,jabloň lesní
Mespilus germanica,strom,mišpule obecná
Metasequoia glyptostroboides,strom,metasekvoje čínská
Morus alba,strom,morušovník bílý
Morus nigra,strom,morušovník černý
Myricaria germanica,keř,židoviník německý
Paeonia suffruticosa,keř,pivoňka keřovitá
Parthenocissus inserta,strom,loubinec popínavý
Parthenocissus quinquefolia,strom,loubinec pětilistý
Parthenocissus quinquefolia agg.,strom,okruh loubince pětilistého
Parthenocissus tricuspidata,strom,loubinec trojlaločný
Paulownia tomentosa,strom,pavlovnie plstnatá
Phellodendron amurense,strom,korkovník amurský
Philadelphus coronarius,keř,pustoryl věncový
Physocarpus opulifolius,keř,tavola kalinolistá
Picea abies,strom,smrk ztepilý
Picea glauca,strom,smrk sivý
Picea mariana,strom,smrk černý
Picea omorika,strom,smrk omorika
Picea pungens,strom,smrk pichlavý
Picea sitchensis,strom,"smrk sitecký, sitka"
Pinus ×ascendens,strom,borovice vystoupavá
Pinus ×ascendens nothosubsp. skalickyi,strom,borovice vystoupavá Skalického
Pinus banksiana,strom,"borovice Banksova, banksovka"
Pinus cembra,strom,"borovice limba, limba"
Pinus contorta,strom,borovice pokroucená
Pinus mugo,keř,"borovice kleč, kosodřevina"
Pinus nigra,strom,borovice černá
Pinus nigra subsp. nigra,strom,borovice černá pravá
Pinus rigida,strom,borovice tuhá
Pinus strobus,strom,"borovice vejmutovka, vejmutovka"
Pinus sylvestris,strom,"borovice lesní, sosna"
Pinus uncinata,strom,"borovice zobanitá, b. pyrenejská"
Pinus uncinata subsp. uliginosa,strom,"borovice zobanitá blatka, blatka"
Platanus ×hispanica,strom,platan javorolistý
Platanus occidentalis,strom,platan západní
Platanus orientalis,strom,platan východní
Platycladus orientalis,strom,zeravec východní
Populus ×canadensis,strom,topol kanadský
Populus ×candicans,strom,topol bělavý
Populus ×canescens,strom,topol šedý
Populus alba,strom,"topol bílý, linda"
Populus balsamifera,strom,topol balzámový
Populus nigra,strom,topol černý
Populus nigra agg.,strom,okruh topolu černého
Populus nigra subsp. nigra,strom,topol černý pravý
Populus tremula,strom,"topol osika, osika"
Prunus ×eminens,keř,třešeň prostřední
Prunus armeniaca,strom,meruňka obecná
Prunus avium,strom,"třešeň ptačí, třešeň"
Prunus cerasifera,strom,"slivoň myrobalán, myrobalán"
Prunus cerasus,strom,"třešeň višeň, višeň"
Prunus domestica,strom,"slivoň švestka, švestka"
Prunus dulcis,strom,mandloň obecná
Prunus fruticosa,keř,třešeň křovitá
Prunus insititia,strom,"slivoň obecná, slíva"
Prunus laurocerasus,keř,bobkovišeň lékařská
Prunus mahaleb,strom,mahalebka obecná
Prunus padus,keř,střemcha obecná
Prunus persica,keř,broskvoň obecná
Prunus serotina,strom,střemcha pozdní
Prunus serrulata,keř,"sakura ozdobná, sakura"
Prunus spinosa,keř,"trnka obecná, trnka"
Prunus spinosa subsp. fruticans,keř,trnka obecná velkoplodá
Prunus spinosa subsp. spinosa,keř,trnka obecná pravá
Prunus tenella,keř,mandloň nízká
Prunus tomentosa,keř,třešeň plstnatá
Prunus virginiana,strom,střemcha virginská
Pseudotsuga menziesii,strom,douglaska tisolistá
Pseudotsuga menziesii var. glauca,strom,douglaska tisolistá sivá
Pseudotsuga menziesii var. menziesii,strom,douglaska tisolistá pravá
Ptelea trifoliata,keř,křídlatec trojlistý
Pyracantha coccinea,keř,hlohyně šarlatová
Pyrus ×amphigenea,strom,hrušeň obecná × h. polnička
